Date,Close,High,Low,Open,Volume,RSI,MACD,SMA_50
2015-03-16,15.591859817504883,15.845495638732546,15.477313661254879,15.921860286354082,4055788,60.06074622143331,0.2028839415621384,14.893457012176514
2015-03-17,15.67640495300293,15.818222211793728,15.417312312717163,15.591859139482041,5971068,61.781673494246924,0.20744951514174836,14.937311687469482
2015-03-18,15.760950088500977,15.812767962183155,15.68185784774114,15.676404278617179,6370959,63.4764790990948,0.21540677573369038,14.981220874786377
2015-03-19,15.771859169006348,15.818223479274192,15.717315319227506,15.760952029415241,7975841,63.70016421715983,0.22005655867955554,15.031457366943359
2015-03-22,15.703679084777832,15.769133335442241,15.643678403956065,15.771859305181222,1560022,61.17833218275559,0.2157529168476362,15.074984798431396
2015-03-23,15.766406059265137,15.818223940840548,15.586405643466335,15.703679407415645,5600852,62.64361656393824,0.21492625620511951,15.120366764068603
2015-03-24,15.810041427612305,15.872768074132965,15.736404381379726,15.766404719858354,3181619,63.67085646355327,0.21531016963021266,15.160403232574463
2015-03-25,15.649131774902344,15.763677922949016,15.545494395630477,15.81004059783306,4304489,57.402339796589196,0.20032118170286495,15.194057846069336
2015-03-26,15.534586906433105,15.640950263886413,15.34367610050858,15.649133063914896,4510885,53.37394849893098,0.17715732778841797,15.215821571350098
2015-03-29,15.561859130859375,15.681858854024762,15.490949684782011,15.534586392396124,780143,54.19811510293397,0.15916568433060796,15.240748977661132
2015-03-30,15.542768478393555,15.608222728492477,15.471859028134444,15.561860048589544,3288270,53.4854152999744,0.14173291237259455,15.266385440826417
2015-03-31,15.651459693908691,15.809948763803698,15.570825574667197,15.846094577269213,5148275,56.955931876911805,0.13513009213464322,15.29365026473999
2015-04-01,15.829412460327148,15.918387407129975,15.587508447399527,15.65145924235725,2805307,61.96017567533826,0.1426126605840512,15.31694679260254
2015-04-02,15.3789701461792,15.837754041965864,15.153749444518748,15.829413211682299,3292159,47.04944893489524,0.11091713604020015,15.328070850372315
2015-04-05,14.836771965026855,15.434580806930335,14.544819621442082,15.378970836723711,4851586,35.8621341097266,0.04156817061004503,15.325787353515626
2015-04-06,14.60042953491211,14.847895231115764,14.441940455566204,14.836771907371844,6863706,32.26116281505382,-0.03209230294820742,15.31817693710327
